fbs,cesi,ebs,eurusd
0.007923576,26.7,-0.30563909,1.3235
-0.013192573,25.7,-0.253661428,1.3505
0.006423236,23.5,-0.08390792,1.3641
-0.030538663,21.7,-0.09177932,1.3611
-0.056354637,18.6,-0.02088132,1.3791
-0.112614167,18.7,0.106698866,1.3516
-0.15771093,15.8,0.11844659,1.3813
-0.190833636,15.4,0.144569189,1.3788
-0.214812259,16.1,0.216555397,1.385
-0.25468981,15.2,0.225575474,1.3607
-0.295665609,16.9,0.234743671,1.3658
-0.331458461,14.9,0.24149373,1.3379
-0.361391955,16.7,0.238893395,1.3188
-0.376842365,13.9,0.244729987,1.2583
-0.38705156,14.8,0.232681758,1.2524
-0.363423587,14.6,0.243008952,1.2483
-0.346007895,13.1,0.206540763,1.2141
-0.319997839,10.5,0.187310951,1.1305
-0.294517438,7.1,0.169340607,1.124
-0.276954372,9.3,0.138207903,1.0759
-0.25575162,8.3,0.140849556,1.1215
-0.233731088,8.4,0.146845752,1.097
-0.211082258,6.4,0.136371127,1.1189
-0.194169391,3.8,0.128230692,1.0967
-0.167393108,5.1,0.115007953,1.1215
-0.142657333,5.6,0.103478199,1.1203
-0.115332015,2.6,0.054115949,1.1017
-0.097004538,-3.9,0.015834927,1.0579
-0.078546923,-2.6,0.011573629,1.0887
-0.060003251,-1.1,-0.045861188,1.092
-0.040839851,0.3,-0.088392627,1.0888
-0.032694497,3.3,-0.099936052,1.1385
-0.029005702,4.4,-0.21619904,1.1403
-0.017891875,3.8,-0.24080473,1.1154
-0.013904094,2.8,-0.255093892,1.1102
-0.005620255,2.8,-0.285735452,1.1113
-0.00057614,0.3,-0.298686692,1.1132
0.001971274,3.5,-0.317858972,1.1161
0.002461947,3.5,-0.287207935,1.0946
0.003936611,2.2,-0.287071588,1.0635
-0.000684464,3.6,-0.322131646,1.0541
-0.000499263,2,-0.287406572,1.0755
-0.00070804,2.7,-0.271082561,1.0597
0.000642924,3.2,-0.269303883,1.0691
0.006356541,5,-0.232935913,1.093
0.00467776,3.5,-0.294772277,1.1221
0.003843038,3.1,-0.301591774,1.1412
0.007160617,4.6,-0.311953114,1.1727
0.007799144,4.1,-0.316099912,1.1825
0.006875228,6.1,-0.317536963,1.1806
0.007831343,8.6,-0.323390834,1.1638
0.006583825,14.1,-0.332024608,1.1849
0.004698209,14.2,-0.336085091,1.1993
0.00294947,15.5,-0.415169155,1.2457
0.001010802,13.8,-0.382327604,1.2214
0.000268319,12.8,-0.367794943,1.2321
0.000701895,13,-0.344421041,1.2079
-0.000176056,11.6,-0.29350801,1.1699
0.001244306,11.6,-0.284761358,1.16874
-0.000821877,14.2,-0.256091293,1.157
